Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available,geometry,koppen_color_id,#_yr_data,circle_size,filename
US-Jo2,Jornada Experimental Range Mixed Shrubland,Enrique R. Vivoni (vivoni@asu.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bwk,Desert: very cold winter,282.3,17.5,USA,32.5849,-106.6032,1469.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1617696,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881584,2010,,"CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,POINT (-106.6032 32.5849),5,11.0,20,AMF_US-Jo2_FLUXNET_FULLSET_HH_2010-2020_3-5.csv
US-Tw1,Twitchell Wetland West Pond,Dennis Baldocchi (baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csa,"Mediterranean: mild with dry, hot summer",421.0,15.5,USA,38.1074,-121.6469,-5.0,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246147,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1832165,2012,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, PPFD_OUT, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_RED_IN, SPEC_RED_OUT, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,POINT (-121.6469 38.1074),8,10.0,20,AMF_US-Tw1_FLUXNET_FULLSET_HH_2011-2020_3-5.csv
US-Oho,Oak Openings,Jiquan Chen (jqchen@msu.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",849.0,10.1,USA,41.5545,-83.8438,230.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",https://doi.org/10.17190/AMF/1246089,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013",https://doi.org/10.17190/AMF/2229385,2004,2013.0,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_BC_IN, PPFD_IN, RH, SC, SWC, SW_IN, SW_OUT, SWP, TA, THROUGHFALL, TS, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,POINT (-83.8438 41.5545),25,10.0,20,AMF_US-Oho_FLUXNET_FULLSET_HH_2004-2013_3-5.csv
US-NC3,NC_Clearcut#3,Asko Noormets (noormets@tamu.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1320.0,16.6,USA,35.799,-76.656,5.0,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1419506,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204872,2013,2021.0,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",,POINT (-76.65600000000001 35.799),14,9.0,5,AMF_US-NC3_FLUXNET_FULLSET_HH_2013-2021_3-5.csv
US-Tw4,Twitchell East End Wetland,Dennis Baldocchi (baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csa,"Mediterranean: mild with dry, hot summer",421.0,15.6,USA,38.1027,-121.6413,-5.0,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246151,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204881,2013,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, G, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_RED_IN, SPEC_RED_OUT, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,POINT (-121.6413 38.1027),8,9.0,5,AMF_US-Tw4_FLUXNET_FULLSET_HH_2013-2021_3-5.csv
US-Ro2,Rosemount- C7,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879.0,6.4,USA,44.7288,-93.0888,292.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1418683,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/2204876,2003,2017.0,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",,POINT (-93.08880000000001 44.7288),25,9.0,5,AMF_US-Ro2_FLUXNET_FULLSET_HH_2008-2016_3-5.csv
US-KS2,Kennedy Space Center (scrub oak),Ross Hinkle (rhinkle@ucf.edu),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Cwa,"Humid Subtropical: dry winter, hot summer",1294.0,21.66,USA,28.6086,-80.6715,3.0,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/1246070,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006",https://doi.org/10.17190/AMF/2229380,2000,2007.0,"CO2, FC, G, H, H2O, LE, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SW_IN, TA, USTAR, VPD, WD, WS",,POINT (-80.67149999999999 28.6086),11,8.0,5,AMF_US-KS2_FLUXNET_FULLSET_HH_1999-2006_3-5.csv
US-Ro4,Rosemount Prairie,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879.0,6.4,USA,44.6781,-93.0723,274.0,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1419507,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881589,2014,,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",,POINT (-93.0723 44.6781),25,8.0,5,AMF_US-Ro4_FLUXNET_FULLSET_HH_2014-2021_3-5.csv
US-Rls,RCEW Low Sagebrush,Gerald Flerchinger (gerald.flerchinger@usda.gov),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Bsh,Steppe: very cold winter,333.0,8.4,USA,43.1439,-116.7356,1608.0,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1418682,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229387,2014,,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-116.7356 43.1439),6,8.0,5,AMF_US-Rls_FLUXNET_FULLSET_HH_2014-2021_3-5.csv
US-SRS,Santa Rita Savanna,Enrique R. Vivoni (vivoni@asu.edu),CC-BY-4.0,Yes,Yes,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Bsk,Steppe: warm winter,388.0,19.4,USA,31.8173,-110.8508,1169.0,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",https://doi.org/10.17190/AMF/1660351,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",https://doi.org/10.17190/AMF/2204878,2011,2019.0,"CO2, CO2_SIGMA, FC, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, G, H, H2O, H2O_SIGMA, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,POINT (-110.8508 31.8173),7,8.0,5,AMF_US-SRS_FLUXNET_FULLSET_HH_2011-2018_3-5.csv
US-KLS,Kansas Land Institute,Nathaniel Brunsell (brunsell@ku.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",812.0,12.0,USA,38.7745,-97.5684,373.0,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1498745,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1854367,2012,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",,POINT (-97.5684 38.7745),14,8.0,5,AMF_US-KLS_FLUXNET_FULLSET_HH_2012-2019_3-5.csv
US-NC1,NC_Clearcut,Asko Noormets (noormets@tamu.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1320.0,16.6,USA,35.8118,-76.7119,5.0,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/1246082,"2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012",https://doi.org/10.17190/AMF/1902836,2005,2013.0,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,POINT (-76.7119 35.8118),14,8.0,5,AMF_US-NC1_FLUXNET_FULLSET_HH_2005-2012_3-5.csv
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",Hank A. Margolis (Hank.Margolis@sbf.ulaval.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",962.32,-0.36,Canada,49.6925,-74.3421,382.0,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1246829,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2006960,2003,,"CO2, FC, G, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-74.3421 49.6925),27,8.0,5,AMF_CA-Qfo_FLUXNET_FULLSET_HH_2003-2010_3-5.csv
US-NGB,NGEE Arctic Barrow,Margaret Torn (mstorn@lbl.gov),CC-BY-4.0,Yes,Yes,SNO,Snow and Ice: Lands under snow/ice cover most of the year. ,ET,Tundra,171.0,-11.27,USA,71.28,-156.6092,5.273,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1436326,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1832162,2012,2023.0,"ALB, CH4, CO2, FC, FCH4, FETCH_90, FETCH_MAX, FH2O, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, PPFD_OUT, RH, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, ZL",,POINT (-156.6092 71.28),29,8.0,5,AMF_US-NGB_FLUXNET_FULLSET_HH_2012-2019_3-5.csv
US-Rms,RCEW Mountain Big Sagebrush,Gerald Flerchinger (gerald.flerchinger@usda.gov),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Bsh,Steppe: very cold winter,800.0,5.4,USA,43.0645,-116.7486,2111.0,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1375202,"2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881587,2014,,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-116.7486 43.0645),6,7.0,5,AMF_US-Rms_FLUXNET_FULLSET_HH_2014-2020_3-5.csv
US-Mo1,LTAR CMRB Field 1 (CMRB ASP),Adam Schreiner-McGraw (Adam.Schreiner-McGraw@usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",981.0,12.0,USA,39.2298,-92.1167,260.0,"2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1870588,"2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229382,2015,,"CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,POINT (-92.11669999999999 39.2298),14,7.0,5,AMF_US-Mo1_FLUXNET_FULLSET_HH_2015-2021_3-5.csv
US-Rws,Reynolds Creek Wyoming big sagebrush,Gerald Flerchinger (gerald.flerchinger@usda.gov),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,290.0,8.9,USA,43.1675,-116.7132,1425.0,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1375201,"2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881592,2014,,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-116.7132 43.1675),7,7.0,5,AMF_US-Rws_FLUXNET_FULLSET_HH_2014-2020_3-5.csv
US-Cop,Corral Pocket,David Bowling (david.bowling@utah.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",,,,,USA,38.09,-109.39,1520.0,"2001, 2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/1246129,"2001, 2002, 2003, 2004, 2005, 2006, 2007",https://doi.org/10.17190/AMF/2006972,2001,2007.0,"CO2, FC, G, H, LE, NEE, NETRAD, P, PA, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",,POINT (-109.39 38.09),31,7.0,5,AMF_US-Cop_FLUXNET_FULLSET_HR_2001-2007_3-5.csv
US-SRC,Santa Rita Creosote,Shirley (Kurc) Papuga (shirley.papuga@gmail.com),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bwh,Desert: warm winter,330.0,22.0,USA,31.9083,-110.8395,950.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1246127,"2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1871145,2008,2018.0,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, RH, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-110.8395 31.9083),4,7.0,5,AMF_US-SRC_FLUXNET_FULLSET_HH_2008-2014_3-5.csv
US-Rwf,RCEW Upper Sheep Prescibed Fire,Gerald Flerchinger (gerald.flerchinger@usda.gov),CC-BY-4.0,Yes,Yes,CSH,Closed Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover >60%. The shrub foliage can be either evergreen or deciduous.,Bsh,Steppe: very cold winter,505.0,6.5,USA,43.1207,-116.7231,1878.0,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1617724,"2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881591,2014,,"CO2, D_SNOW, FC, FETCH_70, FETCH_90, FETCH_FILTER, FETCH_MAX, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-116.7231 43.1207),6,7.0,5,AMF_US-Rwf_FLUXNET_FULLSET_HH_2014-2020_3-5.csv
CA-DBB,Delta Burns Bog,Sara Knox (sara.knox@ubc.ca),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csb,"Mediterranean: mild with dry, warm summer",1128.0,10.0,Canada,49.1293,-122.9849,4.0,"2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1543378,"2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881565,2014,,"CO2, FC, FCH4, G, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, RH, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS, WTD",,POINT (-122.9849 49.1293),9,7.0,5,AMF_CA-DBB_FLUXNET_FULLSET_HH_2014-2020_3-5.csv
US-ALQ,Allequash Creek Site,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfb,Warm Summer Continental: significant precipitation in all seasons ,,,USA,46.0308,-89.6067,,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1480323,"2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2006964,2015,,"CH4, CO2, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SCH4, SH, SLE, SW_IN, SW_OUT, TA, TW, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD",,POINT (-89.6067 46.0308),26,7.0,5,AMF_US-ALQ_FLUXNET_FULLSET_HH_2015-2021_3-5.csv
US-Mo3,LTAR CMRB Field 3 (CMRB BAU),Adam Schreiner-McGraw (Adam.Schreiner-McGraw@usda.gov),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",981.0,12.0,USA,39.2311,-92.1497,261.0,"2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1870589,"2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229384,2016,,"CO2, CO2_MIXING_RATIO, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_MIXING_RATIO, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,POINT (-92.1497 39.2311),14,6.0,5,AMF_US-Mo3_FLUXNET_FULLSET_HH_2016-2021_3-5.csv
US-ORv,Olentangy River Wetland Research Park,Gil Bohrer (bohrer.17@osu.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1499.1,11.63,USA,40.0201,-83.0183,221.0,"2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1246135,"2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1832164,2011,2016.0,"CH4, CO2, FC, FCH4, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_IN, RECO, RH, SC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS",,POINT (-83.0183 40.0201),14,6.0,5,AMF_US-ORv_FLUXNET_FULLSET_HH_2011-2016_3-5.csv
US-Pnp,"Lake Mendota, Picnic Point Site",Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,WAT,"Water Bodies : Oceans, seas, lakes, reservoirs, and rivers. Can be either fresh or salt- water bodies.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",875.0,7.94,USA,43.0896,-89.4158,260.0,"2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1433376,"2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229386,2016,,"CO2, COND_WATER, DO, FC, H, H2O, LE, LW_IN, P, PA, PCO2, RH, SW_IN, TA, TW, USTAR, VPD, WD, WS",,POINT (-89.4158 43.0896),25,6.0,5,AMF_US-Pnp_FLUXNET_FULLSET_HH_2016-2021_3-5.csv
US-Me3,Metolius-second young aged pine,Bev Law (bev.law@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",719.0,7.07,USA,44.3154,-121.6078,1005.0,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1246077,"2004, 2005, 2006, 2007, 2008, 2009",https://doi.org/10.17190/AMF/1902835,2004,2009.0,"APAR, CO2, FC, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS, ZL",,POINT (-121.6078 44.3154),9,6.0,5,AMF_US-Me3_FLUXNET_FULLSET_HH_2004-2009_3-5.csv
